,1,2,3,4,5,hand_orientation,letter
144,1,straight,straight,straight,bent,vertical,d
145,2,straight,bent,bent,bent,vertical,d
146,4,closed,closed,closed,closed,horizontal,d
147,2,straight,bent,bent,bent,vertical,d
148,3,straight,bent,bent,bent,vertical,d
149,3,straight,bent,bent,bent,vertical,d
150,3,straight,bent,bent,bent,vertical,d
151,3,straight,bent,bent,bent,vertical,d
152,3,straight,bent,bent,bent,vertical,d
153,1,straight,bent,bent,bent,vertical,d
154,2,straight,bent,bent,bent,vertical,d
155,1,straight,bent,bent,bent,vertical,d
156,2,straight,straight,straight,straight,vertical,d
157,2,straight,bent,straight,bent,vertical,d
158,3,straight,bent,bent,bent,vertical,d
159,3,straight,bent,bent,bent,vertical,d
160,2,straight,bent,bent,bent,vertical,d
161,4,straight,bent,bent,bent,vertical,d
162,4,straight,bent,bent,bent,vertical,d
163,4,straight,bent,bent,bent,vertical,d
164,3,straight,bent,bent,bent,vertical,d
165,3,straight,bent,bent,bent,vertical,d
166,3,straight,bent,bent,bent,vertical,d
167,1,straight,bent,bent,bent,vertical,d
168,1,straight,bent,bent,bent,vertical,d
169,1,straight,bent,bent,bent,vertical,d
170,1,closed,bent,bent,bent,vertical,e
171,1,bent,bent,bent,bent,vertical,e
172,1,bent,bent,straight,straight,vertical,e
173,4,bent,bent,bent,bent,vertical,e
174,4,bent,bent,bent,bent,vertical,e
175,4,bent,bent,bent,bent,vertical,e
176,1,bent,bent,bent,bent,vertical,e
177,1,bent,bent,bent,bent,vertical,e
178,4,straight,straight,straight,straight,horizontal,e
179,3,bent,bent,bent,bent,vertical,e
180,3,bent,bent,bent,bent,vertical,e
181,3,bent,bent,bent,bent,vertical,e
182,4,bent,bent,bent,bent,vertical,e
183,2,bent,bent,bent,bent,vertical,e
184,4,bent,bent,bent,bent,vertical,e
185,3,bent,bent,bent,bent,vertical,e
186,3,bent,bent,straight,straight,vertical,e
187,3,straight,bent,bent,bent,vertical,e
188,4,bent,bent,bent,bent,vertical,e
189,4,bent,bent,bent,bent,vertical,e
190,4,bent,bent,bent,bent,vertical,e
191,2,bent,bent,bent,bent,vertical,e
192,2,bent,bent,bent,bent,vertical,e
193,2,bent,bent,bent,bent,vertical,e
194,3,bent,bent,bent,bent,vertical,e
195,4,bent,bent,bent,bent,vertical,e
196,3,bent,bent,bent,bent,vertical,e
197,3,closed,bent,bent,bent,vertical,e
198,3,bent,bent,bent,bent,vertical,e
199,4,bent,bent,bent,bent,vertical,e
200,3,bent,bent,bent,bent,vertical,e
201,3,bent,bent,bent,bent,vertical,e
202,3,bent,bent,bent,bent,vertical,e
203,3,bent,bent,bent,bent,vertical,e
204,1,bent,bent,bent,bent,vertical,e
205,1,bent,bent,bent,bent,vertical,e
206,1,bent,bent,bent,bent,vertical,e
207,1,bent,bent,bent,bent,vertical,e
208,1,bent,bent,closed,closed,vertical,e
209,1,bent,bent,bent,bent,vertical,e
210,2,bent,bent,bent,bent,vertical,e
211,2,bent,bent,bent,bent,vertical,e
212,2,bent,bent,bent,bent,vertical,e
213,4,straight,bent,bent,bent,vertical,e
214,3,bent,bent,bent,bent,vertical,e
215,4,straight,bent,bent,bent,vertical,e
216,2,straight,straight,straight,straight,vertical,e
217,3,bent,straight,straight,bent,vertical,e
218,3,bent,bent,bent,bent,vertical,e
219,3,bent,bent,bent,bent,vertical,e
220,4,bent,bent,bent,bent,vertical,e
221,3,bent,bent,bent,bent,vertical,e
222,3,bent,bent,bent,bent,vertical,e
223,2,bent,bent,bent,bent,vertical,e
224,1,straight,straight,straight,straight,vertical,f
225,1,straight,straight,straight,straight,vertical,f
226,1,straight,straight,straight,straight,vertical,f
227,1,straight,straight,straight,straight,vertical,f
228,1,straight,straight,straight,straight,vertical,f
229,1,straight,straight,straight,straight,vertical,f
230,2,bent,straight,straight,straight,vertical,f
231,2,bent,straight,straight,straight,vertical,f
232,2,bent,straight,straight,straight,vertical,f
233,2,bent,straight,straight,straight,vertical,f
234,1,straight,straight,straight,straight,vertical,f
235,2,bent,straight,straight,straight,vertical,f
236,2,bent,straight,straight,straight,vertical,f
237,2,bent,straight,straight,straight,vertical,f
238,3,bent,straight,straight,straight,vertical,f
239,1,straight,straight,straight,straight,vertical,f
240,1,straight,straight,straight,straight,vertical,f
241,1,bent,straight,straight,bent,vertical,f
242,1,bent,straight,straight,straight,vertical,f
243,1,bent,straight,straight,straight,vertical,f
244,1,bent,straight,straight,straight,vertical,f
245,2,bent,straight,straight,straight,vertical,f
246,1,bent,straight,straight,straight,vertical,f
247,1,bent,straight,straight,straight,vertical,f
248,1,bent,straight,straight,straight,vertical,f
249,1,straight,straight,straight,straight,vertical,f
250,1,straight,straight,straight,straight,vertical,f
251,1,straight,straight,straight,straight,vertical,f
252,1,bent,straight,straight,straight,vertical,f
253,1,straight,straight,straight,straight,vertical,f
254,1,straight,straight,straight,straight,vertical,f
255,1,straight,straight,straight,straight,vertical,f
256,1,bent,straight,straight,straight,vertical,f
257,1,straight,straight,straight,straight,vertical,f
258,1,straight,straight,straight,straight,vertical,f
259,1,straight,straight,straight,straight,vertical,f
260,1,straight,straight,straight,straight,vertical,f
261,1,straight,straight,straight,straight,vertical,f
262,1,straight,straight,straight,straight,vertical,f
263,1,straight,straight,straight,straight,vertical,f
264,1,straight,straight,straight,straight,vertical,f
265,1,straight,straight,straight,straight,vertical,f
266,1,straight,straight,straight,straight,vertical,f
267,1,straight,straight,straight,straight,vertical,f
268,1,straight,straight,straight,straight,vertical,f
269,1,straight,straight,straight,straight,vertical,f
270,1,straight,straight,straight,straight,vertical,f
271,1,bent,straight,straight,straight,vertical,f
272,1,straight,straight,straight,straight,vertical,f
273,1,straight,straight,straight,straight,vertical,f
274,1,straight,straight,straight,straight,vertical,f
275,1,straight,bent,bent,straight,horizontal,g
276,2,straight,bent,bent,bent,horizontal,g
277,1,straight,bent,bent,bent,horizontal,g
278,3,straight,bent,bent,bent,horizontal,g
279,3,straight,bent,bent,bent,horizontal,g
280,1,straight,bent,bent,bent,horizontal,g
281,2,straight,bent,bent,bent,horizontal,g
282,3,straight,bent,bent,bent,horizontal,g
283,4,straight,straight,bent,bent,horizontal,g
284,4,straight,bent,closed,closed,horizontal,g
285,1,straight,bent,bent,bent,horizontal,g
286,1,straight,bent,bent,bent,horizontal,g
287,1,straight,bent,bent,bent,horizontal,g
288,4,straight,bent,bent,bent,horizontal,g
289,1,straight,straight,bent,bent,horizontal,g
290,1,straight,bent,bent,bent,horizontal,g
291,2,straight,bent,bent,bent,horizontal,g
292,3,straight,bent,bent,bent,horizontal,g
293,3,straight,bent,bent,bent,horizontal,g
294,3,straight,bent,bent,bent,horizontal,g
295,3,straight,bent,bent,bent,horizontal,g
296,4,straight,bent,bent,bent,horizontal,g
297,1,straight,bent,bent,bent,horizontal,g
298,1,straight,bent,bent,bent,horizontal,g
299,1,straight,bent,bent,bent,horizontal,g
300,1,straight,bent,bent,bent,horizontal,g
301,1,straight,bent,bent,bent,horizontal,g
302,1,straight,straight,bent,bent,horizontal,g
303,1,straight,straight,bent,bent,horizontal,g
304,1,straight,bent,bent,bent,horizontal,g
305,1,straight,bent,bent,bent,horizontal,g
306,1,straight,bent,bent,bent,horizontal,g
307,4,straight,straight,bent,bent,horizontal,g
308,3,straight,bent,closed,bent,horizontal,g
309,1,straight,straight,bent,bent,horizontal,g
310,4,straight,straight,bent,bent,horizontal,g
311,1,straight,bent,bent,bent,horizontal,g
312,1,straight,bent,bent,bent,horizontal,g
313,1,straight,bent,bent,bent,horizontal,g
314,4,straight,bent,bent,bent,horizontal,g
315,1,straight,bent,bent,bent,horizontal,g
316,1,straight,bent,bent,bent,horizontal,g
317,1,straight,bent,bent,bent,horizontal,g
318,1,straight,bent,bent,bent,horizontal,g
319,1,straight,bent,bent,bent,horizontal,g
320,1,straight,bent,bent,bent,horizontal,g
321,1,straight,straight,straight,straight,horizontal,g
322,2,straight,bent,closed,closed,horizontal,g
323,1,straight,bent,bent,bent,horizontal,g
324,1,straight,bent,closed,bent,horizontal,g
325,1,straight,bent,closed,bent,horizontal,g
326,1,straight,bent,closed,closed,horizontal,g
327,1,straight,straight,bent,bent,horizontal,h
328,1,straight,straight,bent,bent,horizontal,h
329,1,straight,bent,bent,bent,horizontal,h
330,1,straight,straight,bent,bent,horizontal,h
331,1,straight,straight,bent,bent,horizontal,h
332,1,straight,straight,bent,bent,horizontal,h
